WKT,nombre,descripción,,,,,,
POINT (-0.4098 39.06956 0.0),Area AC Hort de Soriano (Carcaixent)  (Gratuito,Agua:si,vaciado:si,WC:si, electric,no),,
POINT (-8.89696 42.64159 0.0),Area de ac playa de BarraÃ±a (Boiro)  (Gratuito, Agua:Si:Wc:en verano),,,,,,
POINT (0.35921 42.90715 0.0),Arreau Ã¡rea AC municipal  (2 euros,Agua:si,vaciado:si,WC:no, electric,no),,
POINT (-0.41007 38.39479 0.0),Camper Area Campello Beach   (14eur/noche,Agua:si,WC:si,Electr.:si 3eur,Ducha:si),,,
POINT (-8.44443 43.37179 0.0),A CoruÃ±a  Gratuito: Si, Pernocta: Si, WC: Si, Agua: Si,,,,
POINT (0.72158 40.72556 0.0),AC Agrobotiga del Delta  (Gratuito,Agua:si,Wc:no),,,,,
POINT (2.52043 41.81417 0.0),AC Arbucies  (Gratuito,Agua:si,Wc:no),,,,,
POINT (9.6713 39.75402 0.0),AC Baccu e Praidas  (10eur/24h,Agua:si,WC:si,Electricidad:no),,,,
POINT (1.27773 41.78121 0.0),AC Bon Area Guissona  (Gratuito,Agua:si,Wc:si),,,,,
POINT (4.50299 51.28586 0.0),AC Brasschaat  (Gratuito,Agua:si,Wc:no),,,,,
POINT (1.28364 41.67803 0.0),AC Cervera  (Gratuito,Agua:si,Wc:no),,,,,
POINT (0.31783 47.065 0.0),AC Champigny-sur-Veude  (Gratuito,Agua:si,WC:si),,,,,
POINT (1.65895 45.05802 0.0),AC Collonges la Rouge  (5eur/noche,Agua:si,WC:si),,,,,
POINT (1.00682 44.77714 0.0),AC de Belves  (Gratuito,Agua:si,WC:no),,,,,
POINT (1.58078 45.05397 0.0),Ac de Turenne  (Gratuito,Agua:si,WC:no),,,,,
POINT (13.74581 51.04677 0.0),AC Dresden Zentrum  (13eur/dia, Agua:si WC:no),,,,,,
POINT (13.65136 68.30725 0.0),AC Eggum  (110coronas/noche,Agua:si,Wc:no),,,,,
POINT (1.32661 41.17643 0.0),AC El Catllar  (Gratuito,Agua:si,Wc:si),,,,,
POINT (0.73375 41.12671 0.0),AC El Masroig  (Gratuito,Agua:si,WC:si),,,,,
POINT (10.31922 47.72945 0.0),AC kempten  (5eur/n24h,Agua:si,WC:no),,,,,
POINT (13.58558 52.45926 0.0),AC Koepenicker Hof  (10eur/24h, Agua:Si WC:Si),,,,,,
