WKT,nombre,descripción
"POINT (2.3527175 43.2000401)",aire de camping car Carcassonne,
"POINT (3.014911 42.728548)",Sainte-Marie,
"POINT (3.0254453 42.73235359999999)",Aire de Camping car,
"POINT (4.564296 43.939518)",Remoulins,
"POINT (4.53496 43.94756599999999)",Pont du Gard,
"POINT (4.55531 43.937939)",Aire Camping-Car Park,
"POINT (4.8633546 46.786363)",Motorhome Aire,
"POINT (5.4336153 49.1949863)",Verdun Memorial,
"POINT (5.4245709 49.2074232)",Douaumont Ossuary,
"POINT (5.4387118 49.216968)",Fort Douaumont,
"POINT (5.425626499999999 49.2141148)",Trench of Bayonets,
"POINT (5.429488999999999 49.19735720000001)",Monument to the Dead FLEURY TO Douamont,
"POINT (5.431763800000001 49.1866308)",André Maginot Monument,
"POINT (5.4346645 49.2129001)",Boyau De Londres,
"POINT (5.366018 49.21121)",Aire Camping-Car Park,
"POINT (5.3494654 49.6397231)",Abadía de Orval,
"POINT (4.9122308 50.2607382)",Dinant,
"POINT (4.824387000000001 50.13638599999999)",Givet,
"POINT (4.830927000000001 50.13727840000001)",Aire de camping car,
"POINT (4.706894 50.010613)",Haybes,
"POINT (4.7080122 50.0109335)",Camping car Parking,
"POINT (4.6050622 49.86977359999999)",Lac des Vieilles Forges,
"POINT (4.726096 49.76208500000001)",Charleville-Mézières,
"POINT (4.720081400000001 49.77897460000001)",Motorhome Aire,
"POINT (2.740269999999999 49.928306)",Camping De Mon Village (Aire Camping-Car Park),
"POINT (1.5268086 50.2029386)",Aire De Camping Car de La Mollière,
"POINT (1.5665254 50.2150214)",Faro de Le Hourdel,
"POINT (1.5524097 50.2156441)",Le Blockhaus,
"POINT (1.5439026 50.21343460000001)",Point de vue Cayeux-sur-mer,
"POINT (1.6167079 50.2389081)",Marais de La Bassée,
"POINT (2.1101602 51.0061172)",Petit-Fort-Philippe Beach,
"POINT (3.2247552 51.2091807)",Brujas,
"POINT (3.2257429 51.1959793)",Motorhome parking ,
"POINT (2.9694055 51.238587)",Bredene,
"POINT (2.97414 51.251191)",Camping Duinezwin,
"POINT (3.6023525 50.8459459)",Oudenaarde,
"POINT (4.1065981 50.8644342)",Liedekerke,
"POINT (4.7137645 50.8822871)",Lovaina,
"POINT (5.241978700000001 51.13632080000001)",Camperplaats De Lido,
"POINT (5.3032748 51.1663592)",Cycling through the Trees,
"POINT (5.2909463 51.2475913)",Sahara Lommel,
"POINT (5.6909725 50.8513682)",Maastricht,
"POINT (6.083886800000001 50.7753455)",Aquisgrán,
"POINT (6.8765215 50.8015594)",Phantasialand,
"POINT (8.8585152 52.29819029999999)",Campingplatz "Am Hahler Hafen", Minden,
"POINT (8.9160539 52.2923549)",Minden,
"POINT (9.3616 52.1042035)",Hamelín,
"POINT (9.356443800000001 52.0957053)",Canoe Club Hameln Area camper,
"POINT (10.4289963 51.9059531)",Goslar,
"POINT (10.41888 51.890494)",World Heritage Rammelsberg ore mines,
"POINT (10.3403988 51.85710530000001)",Gustav Adolf Stave Church,
"POINT (10.2866299 51.8705001)",Lautenthal Camping Car Park,
"POINT (10.7844266 51.8368113)",Wernigerode,
"POINT (11.141448 51.7920562)",Quedlinburg,
"POINT (11.2338352 51.7416344)",Wohnmobil- und Wohnwagenstellplatz (Aeródromo),
"POINT (10.8123411 50.6082051)",Schmiedefeld am Rennsteig,
"POINT (10.962695 50.2612094)",Coburgo,
"POINT (10.9759507 50.26985740000001)",Wohnmobil Stellplatz Vesteblick,
"POINT (10.9027636 49.8988135)",Bamberg,
"POINT (10.9027946 49.8862372)",Wohnmobil-Stellplatz Bamberg,
"POINT (10.9526553 49.6292951)",Naturbad Dechsendorfer Pond,
"POINT (11.0766654 49.4521018)",Núremberg,
"POINT (10.8515522 49.4612257)",Wohnmobilstellplatz Cadolzburg,
"POINT (9.852606699999999 49.8539088)",Badesee Erlabrunn,
"POINT (9.9533548 49.79130439999999)",Wurzburgo,
"POINT (9.9226624 49.7981338)",Wohnmobilstellplatz Würzburg,
"POINT (9.2691602 50.750828)",Alsfeld,
"POINT (9.2789638 50.74836209999999)",Área De Autocaravana De Alsfeld,
"POINT (8.7657677 50.8018843)",Marburgo,
"POINT (5.736723899999999 50.61148780000001)",Domaine Provincial de Wégimont,
"POINT (5.491026 50.3506504)",Durbuy,
"POINT (5.2665868 50.2889704)",Zona picnic,
"POINT (4.7172356 50.89618509999999)",Camperterrein Kessel-Lo,
"POINT (4.7231169 50.89497679999999)",Provinciedomein Kessel-Lo,
"POINT (4.3571696 50.8476424)",Bruselas,
"POINT (6.2076994 49.93397479999999)",Vianden,
"POINT (6.2156676 49.93208680000001)",RV Park Vianden,
"POINT (6.175715599999999 49.1193089)",Metz,
"POINT (6.168582499999999 49.12361380000001)",Motorhome Parking Lot,
"POINT (6.184417 48.692054)",Nancy,
"POINT (6.492338999999999 48.592237)",Lunéville,
"POINT (6.4988641 48.5965779)",Campingplatz,
"POINT (6.2827554 48.436746)",Parc National Moselle Sauvage,
"POINT (6.449403 48.172402)",Épinal,
"POINT (6.4449543 48.1867382)",Motorhome Aire,
"POINT (6.877292 48.07008099999999)",Gérardmer,
"POINT (6.8530816 48.0689863)",Lac de Gerardmer,
"POINT (7.137154 48.041385)",Munster,
"POINT (7.134984100000001 48.0376667)",Area Campers Munster,
"POINT (6.8720915 47.6538025)",Étang des Forges,
"POINT (6.863849 47.63967400000001)",Belfort,
"POINT (6.798466 47.510356)",Montbéliard,
"POINT (6.793344299999999 47.50575159999999)",Parking Camping Car,
"POINT (6.8310677 47.516129)",Musée de L'Aventure Peugeot,
"POINT (6.3576908 47.3400993)",Aire de service pour camping car - Baume les Dames,
"POINT (5.6996479 46.8338969)",La Maison du Comté,
"POINT (6.035234899999999 46.7726611)",Camping Car Park Nozeroy,
"POINT (5.912961999999999 46.626193)",Belvédère des Quatre Lacs,
"POINT (5.7871095 46.6719112)",Lago de Chalain,
"POINT (5.65002 46.421023)",Belvédère de Cernon,
"POINT (5.663200799999999 46.3976897)",Barrage de Vouglans,
"POINT (5.908998 45.692341)",Aix-les-Bains,
