,latitud,longitud,población,region,pais,precio,agua,wc,vaciado
0,39.06956,-0.4098,Carcaixent,Comunitat Valenciana,España,Gratuito,si,si,si
1,42.64159,-8.89696,Boiro,Galicia,España,Gratuito,si,si,desconocido
2,42.90715,0.35921,Arreau,Occitanie,France,De pago,si,no,si
3,38.39479,-0.41007,el Campello,Comunitat Valenciana,España,De pago,si,si,desconocido
4,43.37179,-8.44443,A Coruña,Galicia,España,Gratuito,si,si,desconocido
5,40.72556,0.72158,Deltebre,Catalunya,España,Gratuito,si,no,desconocido
6,41.81417,2.52043,Arbúcies,Catalunya,España,Gratuito,si,no,desconocido
7,39.75402,9.6713,Cardedu,Sardigna/Sardegna,Italia,De pago,si,si,desconocido
8,41.78121,1.27773,Guissona,Catalunya,España,Gratuito,si,si,desconocido
9,51.28586,4.50299,Brasschaat,Antwerpen,België / Belgique / Belgien,Gratuito,si,no,desconocido
10,41.67803,1.28364,Cervera,Catalunya,España,Gratuito,si,no,desconocido
11,47.065,0.31783,Champigny-sur-Veude,Centre-Val de Loire,France,Gratuito,si,si,desconocido
12,45.05802,1.65895,Collonges-la-Rouge,Nouvelle-Aquitaine,France,De pago,si,si,desconocido
13,44.77714,1.00682,Pays de Belvès,Nouvelle-Aquitaine,France,Gratuito,si,no,desconocido
14,45.05397,1.58078,Turenne,Nouvelle-Aquitaine,France,Gratuito,si,no,desconocido
15,51.04677,13.74581,Dresden,Sachsen,Deutschland,De pago,si,no,desconocido
16,68.30725,13.65136,Vestvågøy,Nordland,Norge,De pago,si,no,desconocido
17,41.17643,1.32661,el Catllar,Catalunya,España,Gratuito,si,si,desconocido
18,41.12671,0.73375,el Masroig,Catalunya,España,Gratuito,si,si,desconocido
19,47.72945,10.31922,Kempten (Allgäu),Bayern,Deutschland,De pago,si,no,desconocido
20,52.45926,13.58558,Berlin,Deutschland,Deutschland,De pago,si,si,desconocido
21,41.41435,1.1727,Solivella,Catalunya,España,De pago,si,si,desconocido
22,42.2381,0.96624,la Pobla de Segur,Catalunya,España,Gratuito,si,no,desconocido
23,59.04898,10.03346,Larvik,Vestfold og Telemark,Norge,De pago,si,si,desconocido
24,43.03665,-2.33781,Legazpi,Euskadi,España,Gratuito,si,si,desconocido
25,49.4851,-1.37337,Saint-Floxel,Normandie,France,Gratuito,si,no,desconocido
26,41.92158,2.32174,Sant Julià de Vilatorta,Catalunya,España,Gratuito,si,si,desconocido
27,41.62198,2.68943,Pineda de Mar,Catalunya,España,De pago,desconocido,no,desconocido
28,41.88505,12.38906,Roma,Lazio,Italia,De pago,si,si,desconocido
29,43.44705,-3.72811,Ribamontán al Mar,Cantabria,España,De pago,si,si,desconocido
30,44.15179,1.75121,Saint-Antonin-Noble-Val,Occitanie,France,Gratuito,si,no,desconocido
31,48.64347,-1.99403,Saint-Malo,Bretagne,France,De pago,si,no,desconocido
32,42.82247,0.32309,Saint-Lary-Soulan,Occitanie,France,De pago,si,si,desconocido
33,42.23567,2.28421,Sant Joan de les Abadesses,Catalunya,España,Gratuito,si,si,si
34,43.68666,5.7117,Saint-Paul-lès-Durance,Provence-Alpes-Côte d'Azur,France,Gratuito,si,no,desconocido
35,41.80704,2.74448,Sils,Catalunya,España,Gratuito,si,no,desconocido
36,45.6263,7.06263,Valgrisenche,Valle d'Aosta / Vallée d'Aoste,Italia,Gratuito,si,no,desconocido
37,45.59389,7.20708,Valsavarenche,Valle d'Aosta / Vallée d'Aoste,Italia,De pago,si,no,desconocido
38,46.77409,5.52248,Arlay,Bourgogne-Franche-Comté,France,Gratuito,si,si,desconocido
39,37.59001,-4.08879,Alcaudete,Andalucía,España,Gratuito,si,no,desconocido
40,54.31272,13.09759,Stralsund,Mecklenburg-Vorpommern,Deutschland,De pago,no,si,desconocido
41,43.96318,6.66433,Annot,Provence-Alpes-Côte d'Azur,France,Gratuito,si,no,desconocido
42,45.58797,3.11329,Champeix,Auvergne-Rhône-Alpes,France,Gratuito,si,no,si
43,41.39847,1.10464,l'Espluga de Francolí,Catalunya,España,Gratuito,si,desconocido,si
44,44.72299,3.85396,Langogne,Occitanie,France,Gratuito,si,si,si
45,41.16679,1.45677,Creixell,Catalunya,España,De pago,si,no,si
46,42.76222,-8.25611,Vila de Cruces,Galicia,España,Gratuito,si,no,si
47,42.44155,-7.79195,A Peroxa,Galicia,España,Gratuito,si,si,si
48,42.38907,-7.11513,A Rúa,Galicia,España,Gratuito,si,no,desconocido
49,50.76145,6.10291,Aachen,Nordrhein-Westfalen,Deutschland,De pago,si,si,si
50,37.15425,-2.77737,Abla,Andalucía,España,Gratuito,si,si,si
51,42.75889,-8.02111,Agolada,Galicia,España,Gratuito,si,no,si
52,41.84743,-1.93007,Ágreda,Castilla y León,España,Gratuito,si,si,si
53,42.7863,-4.25724,Aguilar de Campoo,Castilla y León,España,Gratuito,si,no,desconocido
54,43.56522,4.19645,Aigues-Mortes,Occitanie,France,De pago,si,no,desconocido
55,38.03745,-5.71036,Alanís,Andalucía,España,Gratuito,si,no,si
56,41.12133,-0.50825,Albalate del Arzobispo,Aragón,España,Gratuito,si,no,si
57,39.38959,-3.21934,Alcázar de San Juan,Castilla-La Mancha,España,Gratuito,si,no,si
58,41.26326,1.1729,Alcover,Catalunya,España,De pago,si,no,si
59,62.47643,6.15842,Ålesund,Møre og Romsdal,Norge,De pago,si,no,si
60,41.43594,-1.23827,Alfamén,Aragón,España,Gratuito,si,no,si
61,48.22077,11.62534,München,Bayern,Deutschland,De pago,si,si,desconocido
62,36.69709,-2.79397,El Ejido,Andalucía,España,De pago,si,si,si
63,50.74863,9.27856,Alsfeld,Hessen,Deutschland,De pago,si,no,si
64,69.98899,23.48611,Alta,Troms og Finnmark,Norge,Gratuito,si,si,si
65,45.78528,8.44087,Vacciago,Piemonte,Italia,Gratuito,si,no,si
66,49.24773,6.13846,Hagondange,Grand Est,France,Gratuito,si,si,si
67,44.74496,-1.11095,Andernos-les-Bains,Nouvelle-Aquitaine,France,De pago,si,si,si
68,40.98399,-0.44725,Andorra,Aragón,España,Gratuito,si,no,si
69,37.0213,-4.57154,Antequera,Andalucía,España,Gratuito,si,no,si
70,43.5595,12.42003,Apecchio,Marche,Italia,Gratuito,si,no,desconocido
71,41.67026,-3.69273,Aranda de Duero,Castilla y León,España,Gratuito,si,no,desconocido
72,43.47195,11.88764,Arezzo,Toscana,Italia,De pago,si,si,desconocido
73,42.17361,-1.59155,Arguedas,Navarra - Nafarroa,España,Gratuito,si,no,si
74,42.21404,-2.23987,Arnedillo,La Rioja,España,Gratuito,si,si,desconocido
75,50.29442,2.78836,Saint-Laurent-Blangy,Hauts-de-France,France,Gratuito,si,no,si
76,49.33906,-0.6258,Arromanches-les-Bains,Normandie,France,Gratuito,si,si,si
77,42.58921,-2.0957,Arróniz,Navarra - Nafarroa,España,Gratuito,si,no,si
78,42.87507,-0.39439,Laruns,Nouvelle-Aquitaine,France,Gratuito,si,desconocido,si
79,42.08722,-8.41389,As Neves,Galicia,España,Gratuito,si,desconocido,si
80,42.81034,-7.10733,As Nogais,Galicia,España,Gratuito,si,no,si
81,41.18698,0.56835,Ascó,Catalunya,España,Gratuito,si,no,desconocido
