,latitude,longitude,price,water,wc,grey_water
0,39.06956,-0.4098,Free,yes,yes,yes
1,42.64159,-8.89696,Free,yes,yes,unknown
2,42.90715,0.35921,Paying,yes,no,yes
3,38.39479,-0.41007,Paying,yes,yes,unknown
4,43.37179,-8.44443,Free,yes,yes,unknown
5,40.72556,0.72158,Free,yes,no,unknown
6,41.81417,2.52043,Free,yes,no,unknown
7,39.75402,9.6713,Paying,yes,yes,unknown
8,41.78121,1.27773,Free,yes,yes,unknown
9,51.28586,4.50299,Free,yes,no,unknown
10,41.67803,1.28364,Free,yes,no,unknown
11,47.065,0.31783,Free,yes,yes,unknown
12,45.05802,1.65895,Paying,yes,yes,unknown
13,44.77714,1.00682,Free,yes,no,unknown
14,45.05397,1.58078,Free,yes,no,unknown
15,51.04677,13.74581,Paying,yes,no,unknown
16,68.30725,13.65136,Paying,yes,no,unknown
17,41.17643,1.32661,Free,yes,yes,unknown
18,41.12671,0.73375,Free,yes,yes,unknown
19,47.72945,10.31922,Paying,yes,no,unknown
20,52.45926,13.58558,Paying,yes,yes,unknown
21,41.41435,1.1727,Paying,yes,yes,unknown
22,42.2381,0.96624,Free,yes,no,unknown
23,59.04898,10.03346,Paying,yes,yes,unknown
24,43.03665,-2.33781,Free,yes,yes,unknown
25,49.4851,-1.37337,Free,yes,no,unknown
26,41.92158,2.32174,Free,yes,yes,unknown
27,41.62198,2.68943,Paying,unknown,no,unknown
28,41.88505,12.38906,Paying,yes,yes,unknown
29,43.44705,-3.72811,Paying,yes,yes,unknown
30,44.15179,1.75121,Free,yes,no,unknown
31,48.64347,-1.99403,Paying,yes,no,unknown
32,42.82247,0.32309,Paying,yes,yes,unknown
33,42.23567,2.28421,Free,yes,yes,yes
34,43.68666,5.7117,Free,yes,no,unknown
35,41.80704,2.74448,Free,yes,no,unknown
36,45.6263,7.06263,Free,yes,no,unknown
37,45.59389,7.20708,Paying,yes,no,unknown
38,46.77409,5.52248,Free,yes,yes,unknown
39,37.59001,-4.08879,Free,yes,no,unknown
40,54.31272,13.09759,Paying,no,yes,unknown
41,43.96318,6.66433,Free,yes,no,unknown
42,45.58797,3.11329,Free,yes,no,yes
43,41.39847,1.10464,Free,yes,unknown,yes
44,44.72299,3.85396,Free,yes,yes,yes
45,41.16679,1.45677,Paying,yes,no,yes
46,42.76222,-8.25611,Free,yes,no,yes
47,42.44155,-7.79195,Free,yes,yes,yes
48,42.38907,-7.11513,Free,yes,no,unknown
49,50.76145,6.10291,Paying,yes,yes,yes
50,37.15425,-2.77737,Free,yes,yes,yes
51,42.75889,-8.02111,Free,yes,no,yes
52,41.84743,-1.93007,Free,yes,yes,yes
53,42.7863,-4.25724,Free,yes,no,unknown
54,43.56522,4.19645,Paying,yes,no,unknown
55,38.03745,-5.71036,Free,yes,no,yes
56,41.12133,-0.50825,Free,yes,no,yes
57,39.38959,-3.21934,Free,yes,no,yes
58,41.26326,1.1729,Paying,yes,no,yes
59,62.47643,6.15842,Paying,yes,no,yes
60,41.43594,-1.23827,Free,yes,no,yes
61,48.22077,11.62534,Paying,yes,yes,unknown
62,36.69709,-2.79397,Paying,yes,yes,yes
63,50.74863,9.27856,Paying,yes,no,yes
64,69.98899,23.48611,Free,yes,yes,yes
65,45.78528,8.44087,Free,yes,no,yes
66,49.24773,6.13846,Free,yes,yes,yes
67,44.74496,-1.11095,Paying,yes,yes,yes
68,40.98399,-0.44725,Free,yes,no,yes
69,37.0213,-4.57154,Free,yes,no,yes
70,43.5595,12.42003,Free,yes,no,unknown
71,41.67026,-3.69273,Free,yes,no,unknown
72,43.47195,11.88764,Paying,yes,yes,unknown
73,42.17361,-1.59155,Free,yes,no,yes
74,42.21404,-2.23987,Free,yes,yes,unknown
75,50.29442,2.78836,Free,yes,no,yes
76,49.33906,-0.6258,Free,yes,yes,yes
77,42.58921,-2.0957,Free,yes,no,yes
78,42.87507,-0.39439,Free,yes,unknown,yes
79,42.08722,-8.41389,Free,yes,unknown,yes
80,42.81034,-7.10733,Free,yes,no,yes
81,41.18698,0.56835,Free,yes,no,unknown
82,42.45136,-6.06599,Free,yes,no,unknown
83,43.63736,0.58601,Paying,yes,yes,unknown
84,47.66396,-2.97342,Free,yes,no,yes
85,45.0518,6.07838,Free,yes,no,yes
86,46.95545,4.3163,Free,yes,yes,yes
87,45.07324,7.39034,Free,yes,no,yes
88,47.21286,0.17715,Paying,yes,no,yes
89,42.65421,-2.0455,Free,yes,no,yes
90,50.31196,9.79737,Paying,yes,no,yes
91,38.88471,-6.97873,Free,yes,yes,yes
92,48.78174,8.20428,Paying,yes,no,yes
93,37.99629,-3.45957,Free,yes,no,yes
94,43.0733,0.15366,Free,yes,no,unknown
95,45.97138,6.0312,Paying,yes,no,unknown
96,46.22619,14.70403,Free,yes,no,yes
97,49.88608,10.90295,Paying,yes,no,yes
98,43.33976,-8.35468,Free,yes,no,yes
99,47.67176,12.01018,Paying,yes,unknown,yes
100,47.01776,4.83685,Free,yes,no,yes
101,42.85283,-7.15322,Free,yes,no,yes
102,44.12493,5.17239,Paying,yes,yes,yes
103,46.20135,9.01748,Paying,yes,no,yes
104,46.13766,12.2141,Paying,yes,yes,yes
105,41.24624,1.56985,Paying,yes,yes,yes
106,39.70905,-1.10108,Free,yes,no,yes
107,43.1034,-2.42424,Free,yes,no,yes
108,44.87108,0.50389,Free,yes,no,unknown
109,43.4233,-2.72611,Free,yes,no,unknown
110,44.36954,-0.24272,Paying,yes,no,yes
111,42.84038,-1.6652,Free,yes,no,yes
112,39.57951,-0.44537,Paying,yes,yes,unknown
113,43.4659,-1.57174,Paying,yes,no,yes
114,39.13286,-0.79065,Paying,yes,yes,unknown
115,49.96882,7.94462,Paying,yes,no,yes
116,44.45887,-1.24529,Paying,yes,no,unknown
117,50.0537,11.7935,Free,yes,yes,yes
118,43.42094,-6.8145,Free,yes,no,yes
119,42.87276,-5.32588,Free,yes,no,unknown
120,44.17784,0.66167,Free,yes,no,yes
121,48.68872,8.1292,Paying,yes,no,unknown
122,46.47317,11.33717,Paying,yes,no,yes
123,45.39896,2.49721,Free,yes,no,yes
124,50.74415,1.59751,Paying,yes,unknown,yes
125,47.07638,2.39861,Free,yes,yes,unknown
126,43.17786,0.97461,Free,yes,no,yes
127,44.48413,1.644,Paying,yes,yes,unknown
128,46.33312,13.53951,Paying,yes,no,unknown
129,41.80398,-6.74596,Free,yes,yes,unknown
130,45.3791,0.64585,Free,unknown,unknown,unknown
131,45.36042,0.64791,Paying,yes,no,unknown
132,45.92608,7.62047,Paying,yes,no,yes
133,44.00515,2.69351,Free,yes,yes,yes
134,45.33291,-0.04577,Free,yes,no,yes
135,40.36809,-2.76267,Paying,yes,yes,yes
136,39.40275,8.40184,Paying,yes,no,yes
137,43.6532,-7.35838,Free,yes,no,unknown
138,42.35139,-3.68056,Free,yes,no,yes
139,36.81611,-2.14961,Paying,yes,yes,yes
140,44.44022,1.4409,Free,yes,no,unknown
141,41.73494,1.51397,Free,yes,no,unknown
142,41.35056,-1.64679,Free,yes,no,yes
143,48.2741,-4.60858,Paying,yes,no,unknown
144,43.01819,0.17829,Free,yes,yes,unknown
145,46.09956,14.51606,Paying,yes,yes,unknown
146,38.93856,-0.1527,Paying,yes,yes,yes
147,44.568,2.58947,Free,yes,yes,yes
148,43.58487,-5.77208,Free,yes,no,yes
149,43.3526,-5.12553,Free,yes,no,unknown
150,42.25536,-8.79764,Free,yes,no,yes
151,40.52591,-0.40742,Free,yes,no,yes
152,43.63606,-1.44719,Paying,yes,yes,yes
153,41.33796,-1.23041,Free,yes,no,yes
154,43.73358,-7.87437,Free,yes,no,yes
155,47.58462,-3.08237,Free,yes,yes,yes
156,42.84105,-9.09585,Free,yes,no,yes
157,42.33812,-4.608,Free,yes,no,unknown
158,43.47287,-0.93416,Paying,yes,no,yes
159,37.61503,-1.00549,Paying,yes,yes,yes
160,45.18262,-0.5835,Free,yes,no,yes
161,42.54583,-2.91472,Free,yes,no,yes
162,44.63341,8.73269,Free,yes,no,yes
163,44.31055,0.07896,Free,unknown,unknown,unknown
164,43.84601,6.5165,Paying,yes,no,unknown
165,36.28332,-5.42141,Free,yes,no,yes
166,42.99998,1.34027,Free,yes,no,yes
167,44.27445,1.35239,Free,yes,no,unknown
168,41.03967,-8.27381,Free,yes,no,yes
169,45.73949,7.48541,Free,yes,no,yes
170,39.66098,-2.38315,Free,yes,no,yes
171,42.37476,-7.41793,Free,yes,no,yes
172,37.22004,-7.44465,Free,yes,no,unknown
173,41.72947,1.52606,Paying,yes,no,yes
174,50.07606,3.64633,Free,yes,no,yes
175,47.6332,7.01866,Paying,yes,no,yes
176,52.62772,10.07243,Free,yes,no,yes
177,48.11816,-1.59108,Free,yes,no,yes
178,38.08146,-1.26612,Free,yes,no,yes
179,47.33826,-1.26556,Paying,yes,yes,yes
180,45.82484,0.45165,Free,yes,no,yes
181,47.70314,-1.37806,Free,yes,no,unknown
182,45.59879,-0.05668,Paying,yes,no,yes
183,44.00462,10.56248,Free,yes,no,yes
184,49.05415,7.43442,Free,yes,yes,yes
185,55.65903,12.55779,Paying,yes,yes,yes
186,41.42423,2.20726,Paying,yes,yes,unknown
187,48.91888,-0.48117,Free,yes,yes,yes
188,45.60844,7.35834,Paying,yes,unknown,yes
189,40.19993,-8.42958,Free,yes,no,yes
190,43.3804,-4.55387,Free,yes,no,yes
191,41.36527,2.02558,Free,yes,yes,unknown
192,43.48468,-5.26054,Paying,yes,yes,yes
193,43.70624,6.50646,Free,yes,yes,yes
194,47.87897,-3.92052,Paying,yes,yes,yes
195,46.65264,5.59955,Free,yes,yes,unknown
196,39.47701,-8.34332,Free,yes,yes,yes
197,44.09353,-1.31921,Paying,yes,yes,yes
198,44.06432,1.95788,Paying,yes,no,yes
199,43.23353,-4.39832,Free,yes,yes,unknown
200,46.29857,0.1783,Free,yes,yes,yes
201,44.77655,-0.34809,Free,yes,no,yes
202,46.45903,1.60571,Free,yes,no,yes
203,47.24089,-0.0226,Paying,yes,yes,yes
204,43.28942,-1.50419,Free,yes,no,yes
205,43.71435,-1.04945,Free,yes,no,yes
206,38.7005,-8.06401,Free,yes,no,yes
207,42.89361,-0.11256,Paying,yes,yes,yes
208,40.11313,-8.49521,Free,yes,no,yes
209,43.30792,-2.01442,Paying,yes,no,unknown
210,43.56322,-7.25775,Free,yes,no,yes
211,48.24051,5.60792,Paying,yes,no,unknown
212,48.45451,-2.02963,Free,yes,yes,yes
213,42.98787,-0.4224,Paying,yes,yes,unknown
214,37.16536,-7.51994,Paying,yes,no,yes
215,43.52395,13.43666,Free,yes,no,yes
216,49.92636,2.92651,Free,yes,unknown,yes
217,42.51855,-4.74117,Free,yes,no,unknown
218,38.91809,-9.3835,Free,yes,no,yes
219,43.31207,-1.58398,Paying,yes,yes,yes
220,48.23335,7.40611,Free,yes,yes,yes
