,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,latitude,longitude,town,country
0,11.3,12.66,13.59,15.29,19.32,23.25,26.31,26.63,23.66,19.62,14.99,12.99,39.06956,-0.4098,Carcaixent,España
1,9.67,10.48,12.25,14.01,16.56,19.19,20.99,20.97,19.41,16.36,12.17,10.41,42.64159,-8.89696,Boiro,España
2,5.22,6.17,8.84,11.27,14.62,18.4,19.91,19.96,17.3,13.86,8.55,6.17,42.90715,0.35921,Arreau,France
3,11.41,12.96,14.2,16.21,20.07,23.99,26.89,26.89,24.03,19.88,15.27,12.87,38.39479,-0.41007,el Campello,España
4,10.81,10.98,12.04,13.02,15.09,17.34,18.92,19.42,18.53,16.41,13.12,11.68,43.37179,-8.44443,A Coruña,España
5,10.57,11.81,14.23,16.68,20.55,25.09,27.47,27.33,23.78,19.69,14.25,10.93,40.72556,0.72158,Deltebre,España
6,7.11,8.16,10.63,13.15,16.82,21.52,23.89,23.78,20.24,16.68,11.35,7.98,41.81417,2.52043,Arbúcies,España
7,10.84,11.0,12.71,15.07,18.56,23.09,26.13,26.57,23.06,19.52,15.13,12.24,39.75402,9.6713,Cardedu,Italia
8,5.5,8.11,11.78,14.97,19.31,24.24,26.48,25.88,21.67,16.9,10.21,5.9,41.78121,1.27773,Guissona,España
9,3.09,4.3,5.93,9.34,13.13,15.54,17.84,18.38,14.34,11.36,7.02,2.92,51.28586,4.50299,Brasschaat,België / Belgique / Belgien
10,5.5,8.11,11.78,14.97,19.31,24.24,26.48,25.88,21.67,16.9,10.21,5.9,41.67803,1.28364,Cervera,España
11,4.97,5.73,8.37,11.17,14.58,18.47,20.16,19.93,16.68,12.89,8.38,5.5,47.065,0.31783,Champigny-sur-Veude,France
12,4.77,5.79,8.82,12.27,15.83,19.68,21.73,20.88,17.31,13.69,8.47,5.16,45.05802,1.65895,Collonges-la-Rouge,France
13,4.82,5.89,9.01,11.95,15.22,19.3,20.94,20.65,17.23,13.77,8.6,5.77,44.77714,1.00682,Pays de Belvès,France
14,4.77,5.79,8.82,12.27,15.83,19.68,21.73,20.88,17.31,13.69,8.47,5.16,45.05397,1.58078,Turenne,France
15,1.51,2.38,5.78,10.51,14.71,18.86,20.4,19.88,15.16,10.61,6.22,3.08,51.04677,13.74581,Dresden,Deutschland
16,-0.54,-0.46,0.68,2.77,6.54,9.85,12.98,12.58,10.08,5.58,2.99,0.88,68.30725,13.65136,Vestvågøy,Norge
17,9.51,10.61,12.91,15.16,18.72,23.09,25.63,25.68,22.49,18.55,13.32,10.23,41.17643,1.32661,el Catllar,España
18,9.51,10.61,12.91,15.16,18.72,23.09,25.63,25.68,22.49,18.55,13.32,10.23,41.12671,0.73375,el Masroig,España
19,-0.75,0.28,3.83,8.03,12.24,16.43,17.58,17.14,12.92,9.04,3.81,0.45,47.72945,10.31922,Kempten (Allgäu),Deutschland
20,0.79,1.84,4.74,9.84,14.42,18.19,19.78,19.34,14.93,10.16,5.5,2.13,52.45926,13.58558,Berlin,Deutschland
21,9.51,10.61,12.91,15.16,18.72,23.09,25.63,25.68,22.49,18.55,13.32,10.23,41.41435,1.1727,Solivella,España
22,4.18,9.0,10.06,12.57,17.93,22.62,25.49,25.1,20.74,16.0,9.58,6.92,42.2381,0.96624,la Pobla de Segur,España
23,3.05,2.8,4.15,6.45,11.1,15.24,17.45,16.94,14.01,9.57,6.32,3.96,59.04898,10.03346,Larvik,Norge
24,4.95,5.71,8.15,10.35,13.52,17.34,19.14,19.27,16.62,13.17,8.34,5.64,43.03665,-2.33781,Legazpi,España
25,6.1,6.01,7.28,9.29,11.8,14.55,16.6,16.34,15.04,12.56,9.27,6.98,49.4851,-1.37337,Saint-Floxel,France
26,7.11,8.16,10.63,13.15,16.82,21.52,23.89,23.78,20.24,16.68,11.35,7.98,41.92158,2.32174,Sant Julià de Vilatorta,España
27,7.11,8.16,10.63,13.15,16.82,21.52,23.89,23.78,20.24,16.68,11.35,7.98,41.62198,2.68943,Pineda de Mar,España
28,6.93,9.06,10.04,13.32,18.28,23.05,26.32,25.29,21.68,16.83,12.14,8.73,41.88505,12.38906,Roma,Italia
29,9.59,9.72,11.32,12.71,14.99,17.8,19.7,20.14,18.49,16.41,12.51,10.64,43.44705,-3.72811,Ribamontán al Mar,España
30,5.35,6.76,9.67,13.03,16.55,20.49,22.81,22.4,18.93,14.69,9.3,6.1,44.15179,1.75121,Saint-Antonin-Noble-Val,France
31,6.54,6.73,8.28,10.37,13.09,15.97,17.77,17.57,15.93,13.13,9.68,7.03,48.64347,-1.99403,Saint-Malo,France
32,5.22,6.17,8.84,11.27,14.62,18.4,19.91,19.96,17.3,13.86,8.55,6.17,42.82247,0.32309,Saint-Lary-Soulan,France
33,7.11,8.16,10.63,13.15,16.82,21.52,23.89,23.78,20.24,16.68,11.35,7.98,42.23567,2.28421,Sant Joan de les Abadesses,España
34,7.16,8.1,11.18,14.46,18.46,23.12,25.34,24.79,20.81,17.01,11.76,8.17,43.68666,5.7117,Saint-Paul-lès-Durance,France
35,7.11,8.16,10.63,13.15,16.82,21.52,23.89,23.78,20.24,16.68,11.35,7.98,41.80704,2.74448,Sils,España
36,-0.18,1.64,5.77,10.08,13.61,17.87,19.53,18.8,14.95,10.56,4.97,0.9,45.6263,7.06263,Valgrisenche,Italia
37,1.05,4.07,7.06,10.84,15.18,19.99,22.28,21.19,16.91,12.3,5.25,0.07,45.59389,7.20708,Valsavarenche,Italia
38,2.93,4.07,7.27,11.33,14.69,18.87,20.84,19.89,16.42,12.3,6.97,3.79,46.77409,5.52248,Arlay,France
39,8.71,10.69,12.87,15.32,20.33,25.33,29.09,28.44,23.28,18.82,12.46,10.16,37.59001,-4.08879,Alcaudete,España
40,1.0,1.46,3.64,7.79,12.25,15.76,17.85,17.45,13.77,9.63,5.57,2.35,54.31272,13.09759,Stralsund,Deutschland
41,7.87,8.59,10.89,13.96,17.63,21.6,24.33,24.02,20.64,16.6,12.01,8.67,43.96318,6.66433,Annot,France
42,4.06,5.23,8.14,11.11,14.78,18.88,20.62,20.43,16.51,12.99,8.1,5.05,45.58797,3.11329,Champeix,France
43,9.51,10.61,12.91,15.16,18.72,23.09,25.63,25.68,22.49,18.55,13.32,10.23,41.39847,1.10464,l'Espluga de Francolí,España
44,1.16,2.34,5.19,8.25,11.6,16.22,18.7,18.43,14.43,10.52,5.68,2.95,44.72299,3.85396,Langogne,France
45,9.51,10.61,12.91,15.16,18.72,23.09,25.63,25.68,22.49,18.55,13.32,10.23,41.16679,1.45677,Creixell,España
46,7.51,7.95,9.56,10.98,13.43,16.31,18.08,18.32,16.93,13.95,9.92,8.37,42.76222,-8.25611,Vila de Cruces,España
47,7.66,9.74,11.8,14.41,17.79,20.65,23.49,23.15,20.33,16.06,10.69,8.7,42.44155,-7.79195,A Peroxa,España
48,5.03,7.56,10.21,12.28,16.3,19.79,22.97,22.18,18.78,14.18,8.63,6.05,42.38907,-7.11513,A Rúa,España
49,3.13,4.49,6.61,10.17,13.67,17.47,18.76,18.54,15.08,11.54,7.27,3.69,50.76145,6.10291,Aachen,Deutschland
